business_id,business_name,business_address,recent_score,recent_risk,average_score,minimum_score,maximum_score
88774,The Cartwright Hotel - Union Square,524 Sutter St,100.0,,100.0,100.0,100.0
88780,Commissary: Sabella and LaTorre Seafoods,Pier 45  Shed B,92.0,Moderate Risk,89.5,88.0,92.0
88792,Starbucks Coffee #47471,3801 03rd St,92.0,Moderate Risk,94.0,92.0,96.0
88799,Village House,3398 Balboa St A,85.0,Low Risk,84.76923076923077,83.0,86.0
88821,Caffe Macaroni,59 Columbus Ave,94.0,Low Risk,94.0,94.0,94.0
88829,Namaskar Foods Authentic Nepalese and Indian Cusine,3251 20th Ave,100.0,,100.0,100.0,100.0
88831,Visitation Valley Community Center,66 Raymond Ave,92.0,Moderate Risk,90.5,86.0,92.0
88840,Poke Shack,Approved Private Locations,96.0,Moderate Risk,93.0,92.0,96.0
88862,Piece of Heaven,1380 Sutter St,96.0,Moderate Risk,95.66666666666667,94.0,98.0
88872,Jamba Juice,500 Parnassus Ave,98.0,Low Risk,99.0,98.0,100.0
88873,Jamba Juice,3251 20th Ave,90.0,Moderate Risk,91.33333333333333,90.0,94.0
88878,Jamba Juice,170 O'Farrell St,96.0,Moderate Risk,95.2,94.0,96.0
88883,Jane the Bakery,1875 Geary Blvd,78.0,Low Risk,82.0,78.0,92.0
88899,Great Steak and Potato,3251 20th Ave 250,86.0,Low Risk,90.0,86.0,98.0
88910,Illy Caffe SF_ 90 N Montgomery,90 New Montgomery St.,94.0,Moderate Risk,93.66666666666667,91.0,96.0
88942,Les Croissants,2 California St,82.0,High Risk,82.0,82.0,82.0
88954,Bistro Coffee & Oyster Bar,452 Balboa St,96.0,Low Risk,94.5,91.0,100.0
88975,Torraku Ramen (#2),601 Mission Bay Blvd North,86.0,Moderate Risk,84.84615384615384,83.0,86.0
88983,Fueling Station,2436 Polk St,100.0,Moderate Risk,98.0,96.0,100.0
89025,Keeva Indian Kitchen,908 Clement St,90.0,Low Risk,79.5,72.0,90.0
89027,Boba Guys,1002 16th St.,92.0,Moderate Risk,90.85714285714286,90.0,92.0
89059,Nande-Ya,1737 Post St 375,72.0,High Risk,73.0,72.0,74.0
